LCBO_id,Price,Name,Description,Size,Alcohol,Madein_city,Madein_country,Brand,Sugar,Sweetness,Style1,Style2,Variety,Pic_src,Featured_wines,Recomm_foods
L780809,51.0,"""Domaine Breton Clos Sénéchal 2015","Aromas of dried red fruit, cherry, potpourri, underwood, liquorice and even some leather. On the palate it is quite fresh with medium ripe tannins and a long finish.",750,12.5,,France,Domaine Breton,,,,,Cabernet Franc,https://www.lcbo.com/content/dam/lcbo/products/780809.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V437681,33.95,12 Linajes Reserva 2012,"Toasty blackberry and cassis aromas are classic for Ribera, while the firm, compact palate is structured but not fiercely tannic. Flavors of spiced blackberry, plum and fig finish with the right interplay between fruit and oak. Drink through 2028. Editors' Choice. Score - 94. (Michael Schachner, Wine Enthusiast, April 1, 2018)",750,14.0,Ribera del Duero,Spain,D.O. 5 Hispanobodegas,7.0,XD - Extra Dry,Firm,Full-bodied,Tempranillo,https://www.lcbo.com/content/dam/lcbo/products/437681.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L419945,14.95,13th Street Burger Blend Gamay Pinot Noir VQA,"Spicy with suggestions of red fruits, leather and sweet spices on the nose. Savoury and juicy in the mouth with fresh acidity, red fruit and soft tannins. Smoky note on the close.  (Vintages panel, April 2015)",750,13.5,Ontario,Canada,Thirteenth Street Wine Corp.,8.0,D - Dry,Fruity,Medium-bodied,Pinot Noir Blend,https://www.lcbo.com/content/dam/lcbo/products/419945.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Gyros Burgers with Oven-Roasted Lemon Potatoes', 'Cashew & Peppered Beef Salad on a Bed of Endive', 'Lamb Triangoli with Brown Butter & Parmesan']"
V56598,16.25,13th Street Cabernet/Merlot 2017,"The 2017 13th Street Cabernet/Merlot is a 56%/44% blend. It's rich, ripe and round, with good complexity and fruit presence and well-placed cassis, dark berry and sweet spice tones alongside some smoky tar and leather. The depth and complexity make this a great value. It will reward 3-5+ years of patience, but you can enjoy it tonight with smoked cheeses, lamb burgers or a medium-rare steak.  (Vintages panel, Sept. 2018)",750,12.0,Ontario,Canada,Thirteenth Street Wine Corp.,11.0,D - Dry,Fruity,Medium-bodied,Cabernet/Merlot,https://www.lcbo.com/content/dam/lcbo/products/056598.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V177824,17.95,13th Street Gamay,,750,12.0,Ontario,Canada,Thirteenth Street Wine Corp.,6.0,XD - Extra Dry,Fruity,Medium-bodied,Gamay,https://www.lcbo.com/content/dam/lcbo/products/177824.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Moroccan Turkey Flatbread', 'Tamarind Chicken Tacos', 'Grilled Tuna with Potato Bundles']"
V249458,15.95,13th Street Red Palette 2017,"This bottle from 13th Street is uncomplicated but brimming with juicy red fruit. Raspberry, Cherry, and Strawberry. The tannin is soft, and this wine is pretty much chuggable...I bet that's the first time you've seen that in a wine review. Something to bridge the gap of the late summer barbeques leading into fall with roasts. Score - 4 Stars (out of 5). (André Proulx, andrewinereview.ca, Aug. 3, 2018)",750,13.1,Ontario,Canada,Thirteenth Street Wine Corp.,5.0,XD - Extra Dry,Fruity,Medium-bodied,Red Blend,https://www.lcbo.com/content/dam/lcbo/products/249458.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V130195,24.25,13th Street Sandstone Vineyard Gamay Noir 2014,"Hailing from a single site in Niagara-on-the-Lake planted in 1983, this is a traditionally made gamay fermented open-top, punched down and aged in French oak. So no tooty-fruity gamay here, indeed it is quite elegant, complex and refined. Expect complex subtle aromas of red currant/cherry, fine spice, pepper and some twigginess. It's mid-weight, dry and nicely contained with a fine red fruit and spice finish. Very good to excellent length. Nicely focused and balanced. Best now to 2020. Score - 91. (David Lawrason, winealign.com, Nov. 4, 2016)",750,13.0,Ontario,Canada,Thirteenth Street Wine Corp.,2.0,XD - Extra Dry,Fruity,Medium-bodied,Gamay,https://www.lcbo.com/content/dam/lcbo/products/130195.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V70573,17.95,14 Hands Winery Cabernet Sauvignon 2016,"Aged in a combination of American and French oak, this Cab has a bit of the restrained power of the wild mustangs for which it was named. (These horses once roamed the hills of the Columbia Valley and measured 14 hands in height.) This dark,  dry wine features notes of vanilla, coffee and spice all layered in and amongst the cassis and blackberry tones. Soft and approachable with wide appeal, it's ideal for ribs. (Vintages panel, Sept. 2018)",750,13.5,Washington,USA,Chat Ste Michelle,10.0,XD - Extra Dry,Fruity,Medium-bodied,Cabernet Sauvignon Blend,https://www.lcbo.com/content/dam/lcbo/products/070573.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
V590497,60.0,1879 Boutari Legacy 2007,"The 2007 1879 Boutari Legacy is a single-vineyard Xinomavro that references Boutari's long history. Very tight and showing far more power than you'll want just now, this is made for the long haul. With plenty of finesse otherwise, it is most notable at the moment for that big, intense finish. It does seem potentially gorgeous, though, if the hard edge and astringency can moderate over time. I think they will, but it probably needs the better part of a decade in the cellar. Right now, it is closed, mute and all about the potential. Drink Date: 2020-2045.  Score - 92+. (Mark Squires, robertparker.com, Aug. 30, 2016)",750,14.0,Macedonia,Greece,John Boutari & Son,4.0,XD - Extra Dry,Firm,Full-bodied,Xinomavro,https://www.lcbo.com/content/dam/lcbo/products/590497.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,
L461525,18.95,19 Crimes Cabernet Sauvignon,"Inky purple with aromas of strawberry jam, leather, and sweet spices; the palate is full and dry with medium acidity an soft tannins. Look for big fruity flavours of blackberry, strawberry jam, and vanilla followed by a lengthy, spicy finish.",750,13.5,South Australia,Australia,Treasury Wine Estates,2.0,XD - Extra Dry,Firm,Full-bodied,Cabernet Sauvignon,https://www.lcbo.com/content/dam/lcbo/products/461525.jpg/jcr:content/renditions/cq5dam.web.1280.1280.jpeg,,"['Spring Lamb Rack', 'Lamb Tagine with Apples', 'Lamb Meatballs with Roasted Peppers & Olives']"
